corp_code,corp_name,stock_code,기초수량_합,취득수량_합,처분수량_합,소각수량_합,기말수량_합
00125965,케이에이치미래물산,111870,1446000,23516,0,1420485,49031
00159102,DB손해보험,005830,32267933,0,600000,1416000,26219933
01029394,에코마케팅,230360,0,1407813,0,1407813,0
00671978,그리티,204020,1452216,192526,0,1393196,251546
00492353,파이오링크,170790,695709,2494692,1330869,1376985,482547
00260930,에스엠,041510,1376811,0,0,1376811,0
00148896,OCI홀딩스,010060,1066308,305055,0,1371363,0
00174208,진성티이씨,036890,7490328,0,375510,1348935,5765883
00131832,SK디스커버리,006120,3216274,3567000,1783500,1314000,3685774
00529815,오디텍,080520,4261823,0,2989247,1272576,0
00120924,매일홀딩스,005990,3927121,210000,54354,1260000,2822767
00266952,네오위즈홀딩스,042420,7311173,1909095,1274186,1244186,6492113
01540815,스튜디오삼익,415380,1074768,879666,720915,1233519,0
00261443,NC,036570,7293074,10084,0,1230000,6073158
00524421,테스,095610,6678536,0,578700,1224678,3655158
00146861,자화전자,033240,4405752,488292,0,1197702,3696342
00482426,인화정공,101930,877950,270603,0,1148553,0
00153621,참엔지니어링,009310,1413045,7053,0,1130436,289662
00226316,호전실업,111110,2614368,930000,0,1121952,2422416
00158316,NICE,034310,6411105,1235340,516900,1113855,6015690
01214743,더네이쳐홀딩스,298540,1085610,0,0,1085610,0
00962393,포인트모바일,318020,397800,1083000,0,1083000,397800
00807379,신흥에스이씨,243840,1082400,0,0,1082400,0
00140168,HS애드,035000,1079295,0,0,1079295,0
00234412,신세계인터내셔날,031430,3213000,0,0,1071000,2142000
00311216,에이치엔에스하이텍,044990,886858,1656630,0,1051917,1491571
00264547,KG이니시스,035600,3857838,0,0,1050000,2807838
00397058,엠게임,058630,2823909,0,1800000,1023909,0
00390365,토비스,051360,2740655,527835,0,1020000,2248490
00364403,쏠리드,050890,1484079,2032179,0,1016091,2500167
01047169,지란지교시큐리티,208350,3349739,0,1140000,1010937,1198802
00349732,코나아이,052400,1187592,441744,46389,1010124,572823
00117212,두산,000150,8808599,0,118641,990000,7699958
00298340,에스티아이,039440,3278859,0,1650000,968859,660000
00209780,케이씨,029460,7210821,3505596,3162768,968343,6585306
00146269,일신방직,003200,5937570,756471,2042481,960000,3691560
00913689,세경하이테크,148150,1383000,8473248,4236624,952833,4666791
00356370,LG생활건강,051900,2864040,2,0,947214,1916828
00105101,INVENI,015360,5157000,0,2487000,900000,1770000
00127802,삼익THK,004380,900000,0,0,900000,0
00535676,테크윙,089030,4839513,0,0,900000,3939513
00866062,엘티씨,170920,1585362,0,0,900000,685362
01237540,이녹스첨단소재,272290,4218801,2448801,4348602,900000,1419000
00157070,한국단자공업,025540,300000,900000,300000,900000,0
00888347,휴젤,145020,5515412,774000,889530,900000,4499882
00416654,유엔젤,072130,2501403,0,0,900000,1601403
01326224,원바이오젠,307280,891629,173574,0,891525,173678
00124726,빙그레,005180,3028320,0,0,886614,2141706
01693922,지슨,446840,0,883612,0,878420,5192
00390903,우주일렉트로,065680,4474587,0,0,868587,3606000
00126937,삼양홀딩스,000070,3124985,10632,163100,840000,2132517
00872984,이마트,139480,3250756,12900,12900,840000,2410756
00838005,서진시스템,178320,0,817740,0,817740,0
01201970,셀레스트라,352770,877954,0,0,800274,77680
01448544,셀로맥스사이언스,471820,576654,1393694,59232,800158,1110958
00301422,스모트로닉,066590,790334,0,0,790334,0
01060814,삼양패키징,272550,0,787695,0,787695,0
00203023,시노펙스,025320,1806038,105694,1113153,769795,28784
00820352,파인텍,131760,763638,0,0,763638,0
00145109,유한양행,000100,19009650,19045638,18520176,721881,18813231
00442145,아바코,083930,1894068,0,4923,706647,1182498
00405320,웹젠,069080,10968138,800000,0,700000,11068138
01203808,AP시스템,265520,783861,691800,0,691800,783861
01468061,레뷰코퍼레이션,443250,688293,797472,688293,688293,109179
00158565,한국알콜,017890,3075501,664508,0,664508,3075501
01064069,토박스코리아,215480,1314963,0,229296,660000,425667
00109781,대림제지,017650,1995000,0,1350000,645000,0
01391103,젝시믹스,337930,0,916500,300000,616500,0
00269922,인바디,041830,2912325,4066032,5811401,608700,558256
00415327,중앙백신,072020,300000,905718,0,600000,605718
00136378,신세계,004170,3223726,0,0,600000,2623726
01182240,배럴,267790,148125,449448,0,597573,0
00133812,세방,004360,4079118,0,1145658,579261,2354199
01234507,매일유업,267980,1880838,122232,426189,540000,1036881
01261893,케이씨텍,281820,3410161,1700454,1716708,513699,2880208
01203376,유비쿼스,264450,3080,502700,0,505780,0
01311055,쿠콘,294570,152091,977718,515095,488859,125855
00125938,삼보판지,023600,1482196,0,997096,485100,0
01130849,파라택시스이더리움,290560,5076,666297,0,452550,218823
00140964,영원무역홀딩스,009970,6091888,0,0,409065,5682823
01013311,헥토이노베이션,214180,2243625,3233106,3853593,393738,1229400
00602136,디와이피엔에프,104460,3142809,391048,0,391048,3142809
00550994,아이센스,099190,8921,378000,0,385041,1880
00173944,우진,105840,1517874,377832,1504005,377832,13869
00833064,엠플러스,259630,1005141,350616,0,374238,981519
00407036,선바이오,067370,24441,421212,0,360000,85653
01586455,꿈비,407400,929698,0,0,360000,569698
00970453,파마리서치,214450,359856,0,0,359856,0
00411048,에스앤에스텍,101490,1865529,605040,605040,349704,1515825
00506294,가비아,079940,1718490,0,235845,345000,1137645
01186404,디앤씨미디어,263720,335646,0,0,335646,0
00391197,하이퍼코퍼레이션,065650,340356,15036,0,301394,53998
00480783,상신이디피,091580,300000,0,0,300000,0
00148461,제일연마,001560,9573237,704763,498000,300000,9480000
00155638,피에스텍,002230,9206517,828768,2718000,290559,7026726
01046708,바디텍메드,206640,5105314,1072380,390328,280778,5707225
01258507,롯데웰푸드,280360,1186614,0,0,260000,926614
00807397,코이즈,121850,247692,7878,0,222924,32646
01008762,데브시스터즈,194480,3715128,0,0,222000,3493128
01136348,나무기술,242040,2938312,0,0,199440,2738872
00612294,피엔티,137400,1487250,157074,1487250,157074,0
01396676,일승,333430,92136,0,0,92136,92136
00138701,아세아,002030,1288962,182016,106293,80814,1283871
01063884,솔디펜스,215090,90006,10566,0,72006,28566
00145738,이화전기공업,024810,55054,25178,0,54504,25728
00480950,이아이디,093230,53536,40790,0,53002,41324
00197759,미래산업,025560,42400,29898,0,39750,32548
00349811,오션인더블유,052300,24068,1855759,0,21662,1858165
01049167,롤링스톤,214610,18724,12136,0,16852,14008
00252001,해원에스티,058480,16575,114142,0,16575,130717
00219097,BGF,027410,16050,0,0,16050,0
00235147,에이팸,073070,13764,0,0,13628,136
00393469,메티스,065560,12320,0,0,11704,616
00384717,비엘팜텍,065170,3614,7780,0,3254,8140
